id,name,rgb,num_parts
1045,Modulex Foil Light Blue,68AECE,0
1046,Modulex Foil Violet,4B0082,0
1047,Modulex Foil Red,8B0000,0
1048,Modulex Foil Yellow,FED557,0
1049,Modulex Foil Orange,F7AD63,0
1050,Coral,FF698F,7013
1051,Pastel Blue,5AC4DA,734
1052,Glitter Trans-Orange,F08F1C,1
1053,Opal Trans-Light Blue,68BCC5,853
1054,Opal Trans-Dark Pink,CE1D9B,187
1055,Opal Trans-Clear,FCFCFC,833
1056,Opal Trans-Brown,583927,140
1057,Trans-Light Bright Green,C9E788,119
1058,Trans-Light Green,94E5AB,42
1059,Opal Trans-Purple,8320B7,277
1060,Opal Trans-Bright Green,84B68D,143
1061,Opal Trans-Dark Blue,0020A0,209
1062,Vibrant Yellow,EBD800,1874
1063,Pearl Copper,B46A00,72
1064,Fabuland Red,FF8014,23
1065,Reddish Gold,AC8247,79
1066,Curry,DD982E,10
1067,Dark Nougat,AD6140,10
1068,Bright Reddish Orange,EE5434,16
1069,Pearl Red,D60026,24
1070,Pearl Blue,0059A3,21
1071,Pearl Green,008E3C,21
1072,Pearl Brown,57392C,35
1073,Pearl Black,0A1327,35
1074,Duplo Blue,009ECE,6
1075,Duplo Medium Blue,3E95B6,1
1076,Duplo Lime,FFF230,5
1077,Fabuland Lime,78FC78,16
1078,Duplo Medium Green,468A5F,1
1079,Duplo Light Green,60BA76,1
1080,Light Tan,F3C988,1
1081,Rust Orange,872B17,3
1082,Clikits Pink,FE78B0,32
1083,Two-tone Copper,945148,2
1084,Two-tone Gold,AB673A,6
1085,Two-tone Silver,737271,6
1086,Pearl Lime,6A7944,41
1087,Duplo Pink,FF879C,47
1088,Medium Brown,755945,186
1089,Warm Tan,CCA373,386
1090,Duplo Turquoise,3FB69E,2
1091,Warm Yellowish Orange,FFCB78,19
1092,Metallic Copper,764D3B,52
1093,Light Lilac,9195CA,51
1094,Trans-Medium Purple,8D73B3,258
1095,Trans-Black,635F52,815
1096,Glitter Trans-Bright Green,D9E4A7,0
1097,Glitter Trans-Medium Purple,8D73B3,6
1098,Glitter Trans-Green,84B68D,1
1099,Glitter Trans-Pink,E4ADC8,2
1100,Clikits Yellow,FFCF0B,22
1101,Duplo Dark Purple,5F27AA,1
1102,Trans-Neon Red,FF0040,22
1103,Pearl Titanium,3E3C39,7255
1104,HO Aqua,B3D7D1,1
1105,HO Azure,1591cb,1
1106,HO Blue-gray,354e5a,3
1107,HO Cyan,5b98b3,1
1108,HO Dark Aqua,a7dccf,1
1109,HO Dark Blue,0A3463,9
1110,HO Dark Gray,6D6E5C,11
1111,HO Dark Green,184632,4
1112,HO Dark Lime,b2b955,1
1113,HO Dark Red,631314,10
1114,HO Dark Sand Green,627a62,1
1115,HO Dark Turquoise,10929d,1
1116,HO Earth Orange,bb771b,2
1117,HO Gold,b4a774,1
1118,HO Light Aqua,a3d1c0,1
1119,HO Light Brown,965336,1
1120,HO Light Gold,cdc298,2
1121,HO Light Tan,f9f1c7,4
1122,HO Light Yellow,f5fab7,1
1123,HO Medium Blue,7396c8,2
1124,HO Medium Red,c01111,4
1125,HO Metallic Blue,0d4763,3
1126,HO Metallic Dark Gray,5e5e5e,2
1127,HO Metallic Green,879867,1
1128,HO Metallic Sand Blue,5f7d8c,1
1129,HO Olive Green,9B9A5A,12
1130,HO Rose,d06262,1
1131,HO Sand Blue,6e8aa6,3
1132,HO Sand Green,A0BCAC,3
1133,HO Tan,E4CD9E,3
1134,HO Titanium,616161,1
1135,Metal,A5ADB4,55
1136,Reddish Orange,CA4C0B,2557
1137,Sienna Brown,915C3C,50
1138,Umber Brown,5E3F33,12
1139,Opal Trans-Yellow,F5CD2F,15
1140,Neon Orange,EC4612,8
1141,Neon Green,D2FC43,13
1142,Dark Olive Green,5d5c36,11
1143,Glitter Milky White,FFFFFF,4
1144,Chrome Red,CE3021,4
1145,Ochre Yellow,DD9E47,3
