urban_rural,YEAR,category,pct,se,variable,n_unweighted,suppress_n,suppress
Nonmetropolitan,2021,No,81.55,1.44,Medicaid Coverage,4463,FALSE,FALSE
Large central metro,2022,No,83.77,0.69,Medicaid Coverage,9029,FALSE,FALSE
Large fringe metro,2022,No,88.87,0.6,Medicaid Coverage,7571,FALSE,FALSE
Medium/small metro,2022,No,82.83,0.88,Medicaid Coverage,9087,FALSE,FALSE
Nonmetropolitan,2022,No,79.85,1.62,Medicaid Coverage,4345,FALSE,FALSE
Large central metro,2023,No,81.46,0.73,Medicaid Coverage,9415,FALSE,FALSE
Large fringe metro,2023,No,87.98,0.55,Medicaid Coverage,7818,FALSE,FALSE
Medium/small metro,2023,No,82.67,0.83,Medicaid Coverage,9780,FALSE,FALSE
Nonmetropolitan,2023,No,76.99,1.31,Medicaid Coverage,4409,FALSE,FALSE
Large central metro,2024,No,83.41,0.63,Medicaid Coverage,10078,FALSE,FALSE
Large fringe metro,2024,No,89.31,0.57,Medicaid Coverage,7903,FALSE,FALSE
Medium/small metro,2024,No,83.45,0.78,Medicaid Coverage,9728,FALSE,FALSE
Nonmetropolitan,2024,No,79.58,1.18,Medicaid Coverage,7276,FALSE,FALSE
Large central metro,2019,Yes,16.42,0.67,Medicaid Coverage,1736,FALSE,FALSE
Large fringe metro,2019,Yes,11.05,0.58,Medicaid Coverage,930,FALSE,FALSE
Medium/small metro,2019,Yes,15.71,0.78,Medicaid Coverage,1860,FALSE,FALSE
Nonmetropolitan,2019,Yes,17.97,1.4,Medicaid Coverage,1036,FALSE,FALSE
Large central metro,2020,Yes,15.78,0.77,Medicaid Coverage,1313,FALSE,FALSE
Large fringe metro,2020,Yes,10.72,0.67,Medicaid Coverage,708,FALSE,FALSE
Medium/small metro,2020,Yes,14.82,0.88,Medicaid Coverage,1367,FALSE,FALSE
Nonmetropolitan,2020,Yes,18.91,1.55,Medicaid Coverage,776,FALSE,FALSE
Large central metro,2021,Yes,16.85,0.7,Medicaid Coverage,1700,FALSE,FALSE
Large fringe metro,2021,Yes,10.58,0.56,Medicaid Coverage,854,FALSE,FALSE
Medium/small metro,2021,Yes,16.37,0.89,Medicaid Coverage,1725,FALSE,FALSE
Nonmetropolitan,2021,Yes,18.45,1.44,Medicaid Coverage,914,FALSE,FALSE
Large central metro,2022,Yes,16.23,0.69,Medicaid Coverage,1494,FALSE,FALSE
Large fringe metro,2022,Yes,11.13,0.6,Medicaid Coverage,834,FALSE,FALSE
Medium/small metro,2022,Yes,17.17,0.88,Medicaid Coverage,1664,FALSE,FALSE
Nonmetropolitan,2022,Yes,20.15,1.62,Medicaid Coverage,943,FALSE,FALSE
Large central metro,2023,Yes,18.54,0.73,Medicaid Coverage,1843,FALSE,FALSE
Large fringe metro,2023,Yes,12.02,0.55,Medicaid Coverage,954,FALSE,FALSE
Medium/small metro,2023,Yes,17.33,0.83,Medicaid Coverage,1737,FALSE,FALSE
Nonmetropolitan,2023,Yes,23.01,1.31,Medicaid Coverage,1100,FALSE,FALSE
Large central metro,2024,Yes,16.59,0.63,Medicaid Coverage,1745,FALSE,FALSE
Large fringe metro,2024,Yes,10.69,0.57,Medicaid Coverage,810,FALSE,FALSE
Medium/small metro,2024,Yes,16.55,0.78,Medicaid Coverage,1640,FALSE,FALSE
Nonmetropolitan,2024,Yes,20.42,1.18,Medicaid Coverage,1653,FALSE,FALSE
